nama_provinsi,kode_kabkota,nama_kabkota,tahun,angka_harapan_hidup,angka_melek_huruf,lama_sekolah,pengeluaran_perkapita,ipm
Prov. Jawa Timur,3571,Kota Kediri,2007,69.78,96.8,9.61,631.87,74.45
Prov. Jawa Timur,3572,Kota Blitar,2007,71.44,96.78,9.44,640.09,75.88
Prov. Jawa Timur,3573,Kota Malang,2007,69.31,97.19,10.8,639.13,75.72
Prov. Jawa Timur,3574,Kota Probolinggo,2007,69.2,92.01,8.29,640.63,72.76
Prov. Jawa Timur,3575,Kota Pasuruan,2007,66.21,95.93,8.74,639.4,72.2
Prov. Jawa Timur,3576,Kota Mojokerto,2007,70.97,96.77,9.66,638.6,75.66
Prov. Jawa Timur,3577,Kota Madiun,2007,70.46,97.71,10.17,631.57,75.42
Prov. Jawa Timur,3578,Kota Surabaya,2007,70.16,97.94,9.82,642.17,75.87
Prov. Jawa Timur,3579,Kota Batu,2007,68.64,97.3,8.19,631.26,72.83
Prov. Jawa Timur,3501,Kab. Pacitan,2008,70.829101,91.542704,6.63,622.23102,70.914754
Prov. Jawa Timur,3502,Kab. Ponorogo,2008,69.312071,84.931487,6.4629083,629.87025,69.067495
Prov. Jawa Timur,3503,Kab. Trenggalek,2008,71.107024,92.26,7.05,630.18482,72.152364
Prov. Jawa Timur,3504,Kab. Tulungagung,2008,70.987936,93.467209,7.5004942,627.11385,72.451608
Prov. Jawa Timur,3505,Kab. Blitar,2008,70.43643,91.04,7.09,645.73319,72.736053
Prov. Jawa Timur,3506,Kab. Kediri,2008,69.179496,92.471835,7.4469196,622.77718,70.851978
Prov. Jawa Timur,3507,Kab. Malang,2008,68.429583,89.174696,6.66,628.38187,69.551499
Prov. Jawa Timur,3508,Kab. Lumajang,2008,66.580601,86.28,5.9,619.67138,66.647071
Prov. Jawa Timur,3509,Kab. Jember,2008,62.469804,82.84,6.29,617.3356,63.707809
Prov. Jawa Timur,3510,Kab. Banyuwangi,2008,66.784702,86.456147,6.68,625.12842,67.797749
Prov. Jawa Timur,3511,Kab. Bondowoso,2008,62.611962,74.3,5.2,619.70458,61.264088
Prov. Jawa Timur,3512,Kab. Situbondo,2008,62.844992,78.158344,5.680204,625.54247,63.056371
Prov. Jawa Timur,3513,Kab. Probolinggo,2008,60.562653,77.71,4.9952726,628.9165,61.441325
Prov. Jawa Timur,3514,Kab. Pasuruan,2008,63.399731,88.13,6.1643842,626.53835,66.01585
Prov. Jawa Timur,3515,Kab. Sidoarjo,2008,70.075227,97.37,9.49,640.90001,75.34752
Prov. Jawa Timur,3516,Kab. Mojokerto,2008,69.745739,94.070948,7.6689005,633.42144,72.506295
Prov. Jawa Timur,3517,Kab. Jombang,2008,69.89257,92.479841,7.4775265,630.21499,71.845531
Prov. Jawa Timur,3518,Kab. Nganjuk,2008,68.442822,90.437927,6.8343842,625.23683,69.726477
Prov. Jawa Timur,3519,Kab. Madiun,2008,68.548027,87.09506,6.7243842,620.99457,68.633793
Prov. Jawa Timur,3520,Kab. Magetan,2008,70.683053,89.8,7.4137599,632.13568,71.789889
Prov. Jawa Timur,3521,Kab. Ngawi,2008,69.252051,85.099561,6.1393039,619.37404,68.023248
Prov. Jawa Timur,3522,Kab. Bojonegoro,2008,66.872443,84.55,6.39,607.26553,65.832075
Prov. Jawa Timur,3523,Kab. Tuban,2008,67.340526,84.95,6.09,621.02605,67.01879
