nama_provinsi,kode_kabkota,nama_kabkota,tahun,indikator_ipm,satuan,nilai
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2008,"Angka Harapan Hidup","Tahun",64.46
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2008,"Angka Melek Huruf","Persen",96.2
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2008,"Rata-rata Lama Sekolah","Tahun",7.7
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2008,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",608.18
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2008,"IPM","Tanpa Satuan",68.12
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2009,"Angka Harapan Hidup","Tahun",64.69
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2009,"Angka Melek Huruf","Persen",96.22
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2009,"Rata-rata Lama Sekolah","Tahun",7.74
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2009,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",608.22
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2009,"IPM","Tanpa Satuan",68.29
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2010,"Angka Harapan Hidup","Tahun",64.92
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2010,"Angka Melek Huruf","Persen",96.24
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2010,"Rata-rata Lama Sekolah","Tahun",7.76
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2010,"Pengeluaran Perkapita Disesuaikan","Ribu Rupiah",610.14
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2010,"IPM","Tanpa Satuan",68.58
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2011,"Angka Harapan Hidup","Tahun",65.1
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2011,"Angka Melek Huruf","Persen",96.25
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2011,"Rata-rata Lama Sekolah","Tahun",7.77
