68.4,87.1,6.7,616.8,69.3
70.5,89.8,7.2,628,68.2
69,85.1,6.1,614.8,71.2
66.8,84.6,6.4,603.6,67.5
67.2,85,6.1,616.9,65.5
67.7,86.6,6.8,618.3,66.6
70.3,94,8.4,628.9,67.9
62.9,82.8,5,617.3,73
61.1,64.1,3.8,618.2,63
62.7,79.5,5.7,615.1,57
64.2,78.6,4.9,630.2,62.5
69.8,96.8,9.6,631.9,63.7
71.4,96.8,9.4,640.1,74.5
69.3,97.2,10.8,639.1,75.9
69.2,92,8.3,640.6,75.7
66.2,95.9,8.7,639.4,72.8
71,96.8,9.7,638.6,72.2
70.5,97.7,10.2,631.6,75.7
70.2,97.9,9.8,642.2,75.4
68.6,97.3,8.2,631.3,75.9
70.8,91.5,6.6,622.2,78.9
69.3,84.9,6.5,629.9,70.9
71.1,92.3,7.1,630.2,69.1
71,93.5,7.5,627.1,72.2
70.4,91,7.1,645.7,72.5
69.2,92.5,7.4,622.8,72.7
68.4,89.2,6.7,628.4,70.9
66.6,86.3,5.9,619.7,69.6
62.5,82.8,6.3,617.3,66.6
66.8,86.5,6.7,625.1,63.7
62.6,74.3,5.2,619.7,67.8
62.8,78.2,5.7,625.5,61.3
60.6,77.7,5,628.9,63.1
63.4,88.1,6.2,626.5,61.4
70.1,97.4,9.5,640.9,66
69.7,94.1,7.7,633.4,75.3
69.9,92.5,7.5,630.2,72.5
68.4,90.4,6.8,625.2,71.8
68.5,87.1,6.7,621,69.7
70.7,89.8,7.4,632.1,68.6
69.3,85.1,6.1,619.4,71.8
66.9,84.6,6.4,607.3,68
67.3,85,6.1,621,65.8
67.8,86.6,6.8,623.2,67
70.5,94,8.4,633.9,68.3
63,82.8,5,622.1,73.5
61.7,64.1,3.8,622.8,63.4
63.2,79.6,5.7,619.5,57.7
64.4,78.6,5,635.2,63.1
70,97.4,9.7,636.9,64.2
71.7,97.2,9.6,645.5,75.1
69.6,97.2,10.8,643.2,76.6
69.5,92.3,8.3,644.5,76.2
66.3,95.9,8.7,643.9,73.3
71.1,97.1,9.7,642.4,72.6
70.6,97.7,10.2,636.7,76.1
70.4,97.9,9.8,646.7,75.9
68.9,97.3,8.2,636,76.4
71,91.6,6.7,626.8,79.3
69.6,85.7,6.6,632.8,71.5
71.4,92.7,7.2,633.2,69.8
71.2,93.5,7.8,628.6,72.7
70.7,91.9,7.2,646.6,72.9
69.4,92.8,7.6,625.1,73.2
68.7,89.5,6.8,631.1,71.3
66.9,86.3,6,624.2,70.1
62.7,83.1,6.4,621.9,67.3
67.2,86.5,6.8,628.2,64.3
62.9,75.3,5.5,622.8,68.4
63,78.2,6,629.4,62.1
60.8,77.9,5.1,634.5,63.7
63.7,88.9,6.3,631.2,62.1
70.3,97.4,9.8,643.3,66.8
70,94.1,7.8,636.1,75.9
70,92.5,7.8,633.1,72.9
68.7,90.5,7.1,628,72.3
68.7,88.3,7,622.4,70.3
70.9,90.3,7.6,634.6,69.3
69.6,85.1,6.3,620.1,72.3
67,84.6,6.5,611.9,68.4
67.6,85.6,6.2,625,66.4
68,87,7,627.3,67.7
70.7,94.4,8.5,636.7,69
63.2,82.8,5.1,627.3,74
62.3,64.8,3.9,627.7,64
63.6,80.2,5.7,623.6,58.7
64.5,78.6,5.2,639.5,63.8
70.2,97.4,10,639.5,64.8
71.9,97.2,9.7,646.9,75.7
70,97.2,10.8,646.9,77
69.8,92.3,8.4,647.2,76.7
66.3,96.1,8.8,647.7,73.7
71.3,97.1,9.7,644.9,73
70.8,97.8,10.4,637.4,76.4
70.7,98,9.9,649.2,76.2
69.2,97.8,8.3,638.4,76.8
71.3,91.6,6.9,631.4,79.5
69.9,85.7,6.7,636.8,72.1
71.6,92.8,7.2,637.1,70.3
71.5,93.5,7.8,631.5,73.2
70.9,92,7.4,649.4,73.3
69.7,92.8,7.6,628.6,73.7
69,89.6,6.8,634.8,71.8
